thread_id,kind,participants,messages,sent_by_me,received,with_text,with_attachments,first_message,last_message,span_days
57c9849e42ae146f,individual,1,1,0,1,1,0,2019-08-01,2019-08-01,0
300e7076952c67ef,individual,0,1,1,0,1,0,2019-08-02,2019-08-02,0
c68dbd1c91b8f5c1,individual,1,1,0,1,1,0,2019-08-03,2019-08-03,0
8e9047ad6e853a0e,individual,1,1,0,1,1,0,2019-09-25,2019-09-25,0
043099d3b955f94a,individual,1,1,0,1,1,0,2019-10-12,2019-10-12,0
9f87b7a9ccdd8d24,individual,1,1,0,1,1,0,2019-10-14,2019-10-14,0
dddd18efb777f6fc,individual,1,1,0,1,1,0,2019-10-22,2019-10-22,0
912fab0a584b6ed8,individual,1,1,0,1,1,0,2019-10-25,2019-10-25,0
a1af702db8470f71,individual,1,1,0,1,1,0,2019-11-08,2019-11-08,0
07c84d1adfe8128e,individual,1,1,0,1,1,0,2019-11-22,2019-11-22,0
a88ce862948a69f6,individual,1,1,0,1,1,0,2019-12-05,2019-12-05,0
ac92817fe8dd3598,individual,1,1,0,1,1,0,2019-12-23,2019-12-23,0
c2185eec2d809bd0,individual,1,1,0,1,1,0,2019-12-30,2019-12-30,0
82801958de4fcf92,individual,1,1,0,1,1,0,2020-01-03,2020-01-03,0
da6193bbc4a26e64,individual,1,1,0,1,1,0,2020-01-04,2020-01-04,0
34bec29f673b4038,individual,1,1,0,1,1,0,2020-01-04,2020-01-04,0
da4fcdbcf1e63c1c,individual,1,1,0,1,1,0,2020-01-05,2020-01-05,0
215f295f322f3016,individual,1,1,0,1,1,0,2020-01-10,2020-01-10,0
dc5e990acf12956e,individual,1,1,0,1,1,0,2020-01-12,2020-01-12,0
c18571469a3ff36b,individual,1,1,0,1,1,0,2020-01-14,2020-01-14,0
4d20e0f3761849bc,individual,1,1,0,1,1,0,2020-01-19,2020-01-19,0
9e2f7a380b84196b,individual,1,1,0,1,1,0,2020-01-21,2020-01-21,0
577712d180225691,individual,1,1,0,1,1,0,2020-01-24,2020-01-24,0
7c600a5f0811462b,group,1,1,0,1,1,0,2020-02-12,2020-02-12,0
